typo;typo_min;typvoie;prevoie;nomvoie
RUE DU CALVAIRE;rue du Calvaire;rue;du;Calvaire
CITE INDUSTRIELLE;cité Industrielle;cité;;Industrielle
PLACE CARREE;place Carrée;place;;Carrée
COUR DES BRETONS;cour des Bretons;cour;des;Bretons
RUE DE BRAQUE;rue de Braque;rue;de;Braque
PLACE DE BRAZZAVILLE;place de Brazzaville;place;de;Brazzaville
RUE CHANZY;rue Chanzy;rue;;Chanzy
PLACE DE BITCHE;place de Bitche;place;de;Bitche
RUE DE L'HARMONIE;rue de l'Harmonie;rue;de l';Harmonie
RUE CARDINET;rue Cardinet;rue;;Cardinet
RUE DU GENERAL DE LANGLE DE CARY;rue du Général de Langle de Cary;rue;du;Général de Langle de Cary
RUE BRANCION;rue Brancion;rue;;Brancion
RUE BLAINVILLE;rue Blainville;rue;;Blainville
RUE CHARLES BAUDELAIRE;rue Charles Baudelaire;rue;;Charles Baudelaire
RUE BOYER-BARRET;rue Boyer-Barret;rue;;Boyer-Barret
RUE CARPEAUX;rue Carpeaux;rue;;Carpeaux
CITE DU CARDINAL LEMOINE;cité du Cardinal Lemoine;cité;du;Cardinal Lemoine
RUE DES CHANTRES;rue des Chantres;rue;des;Chantres
RUE DU CAPITAINE MARCHAL;rue du Capitaine Marchal;rue;du;Capitaine Marchal
RUELLE BIDAULT;ruelle Bidault;ruelle;;Bidault
RUE DES VINAIGRIERS;rue des Vinaigriers;rue;des;Vinaigriers
VOIE D/6;voie D/6;voie;;D/6
RUE VILLEDO;rue Villedo;rue;;Villedo
VOIE X/13;voie X/13;voie;;X/13
RUE VILLIOT;rue Villiot;rue;;Villiot
VOIE DH/13;voie DH/13;voie;;DH/13
VOIE DI/13;voie DI/13;voie;;DI/13
CARREFOUR DE LA PYRAMIDE;carrefour de la Pyramide;carrefour;de la;Pyramide
PASSAGE J/13;passage J/13;passage;;J/13
VOIE BY/16;voie BY/16;voie;;BY/16
PLACE YVON ET CLAIRE MORANDAT;place Yvon et Claire Morandat;place;;Yvon et Claire Morandat
AVENUE DE GRAVELLE;avenue de Gravelle;avenue;de;Gravelle
VOIE BV/16;voie BV/16;voie;;BV/16
VOIE CD/20;voie CD/20;voie;;CD/20
VOIE BA/14;voie BA/14;voie;;BA/14
VOIE BD/14;voie BD/14;voie;;BD/14
VOIE B/10;voie B/10;voie;;B/10
VOIE CG/12;voie CG/12;voie;;CG/12
ROUTE DE L'ETANG;route de l'Étang;route;de l';Étang
ROUTE DU GRAND MARECHAL;route du Grand Maréchal;route;du;Grand Maréchal
RUE MEISSONIER;rue Meissonier;rue;;Meissonier
PASSAGE DU MOULIN DES PRES;passage du Moulin des Prés;passage;du;Moulin des Prés
RUE LOUIS ARMAND;rue Louis Armand;rue;;Louis Armand
RUE MICHEL LE COMTE;rue Michel le Comte;rue;;Michel le Comte
CITE FALAISE;cité Falaise;cité;;Falaise
RUE FRAGONARD;rue Fragonard;rue;;Fragonard
VOIE BM/16;voie BM/16;voie;;BM/16
VOIE Z/16;voie Z/16;voie;;Z/16
RUE DE LA FAISANDERIE;rue de la Faisanderie;rue;de la;Faisanderie
RUE EUGENE SPULLER;rue Eugène Spuller;rue;;Eugène Spuller
RUE JANSSEN;rue Janssen;rue;;Janssen
PLACE JACQUES MARETTE;place Jacques Marette;place;;Jacques Marette
PASSAGE JOANES;passage Joanès;passage;;Joanès
RUE DU LEMAN;rue du Léman;rue;du;Léman
RUE DUSSOUBS;rue Dussoubs;rue;;Dussoubs
RUE HALLE;rue Hallé;rue;;Hallé
SQUARE GABRIEL FAURE;square Gabriel Fauré;square;;Gabriel Fauré
RUE DE FONTARABIE;rue de Fontarabie;rue;de;Fontarabie
VILLA DES ENTREPRENEURS;villa des Entrepreneurs;villa;des;Entrepreneurs
RUE DE NARBONNE;rue de Narbonne;rue;de;Narbonne
AVENUE DU PRESIDENT KENNEDY;avenue du Président Kennedy;avenue;du;Président Kennedy
RUE DU POT DE FER;rue du Pot de Fer;rue;du;Pot de Fer
RUE SAMSON;rue Samson;rue;;Samson
RUE ROBERT ET SONIA DELAUNAY;rue Robert et Sonia Delaunay;rue;;Robert et Sonia Delaunay
RUE SCHUTZENBERGER;rue Schutzenberger;rue;;Schutzenberger
CITE DE PORT-ROYAL;cité de Port-Royal;cité;de;Port-Royal
AVENUE DE LA PORTE DE SAINT-OUEN;avenue de la Porte de Saint-Ouen;avenue;de la;Porte de Saint-Ouen
RUE SIMONET;rue Simonet;rue;;Simonet
RUE DE RAMBERVILLERS;rue de Rambervillers;rue;de;Rambervillers
RUE ROTROU;rue Rotrou;rue;;Rotrou
AVENUE SILVESTRE DE SACY;avenue Silvestre de Sacy;avenue;;Silvestre de Sacy
RUE SALOMON DE CAUS;rue Salomon de Caus;rue;;Salomon de Caus
IMPASSE DE LA SANTE;impasse de la Santé;impasse;de la;Santé
PLACE DE ROUBAIX;place de Roubaix;place;de;Roubaix
SQUARE DU QUERCY;square du Quercy;square;du;Quercy
SQUARE DE ROBIAC;square de Robiac;square;de;Robiac
RUE DU RANELAGH;rue du Ranelagh;rue;du;Ranelagh
AVENUE DE LA PORTE DU PRE-SAINT-GERVAIS;avenue de la Porte du Pré-Saint-Gervais;avenue;de la;Porte du Pré-Saint-Gervais
RUE SIDI BRAHIM;rue Sidi Brahim;rue;;Sidi Brahim
RUE SIVEL;rue Sivel;rue;;Sivel
RUE DU FOIN;rue du Foin;rue;du;Foin
RUE DE L'EST;rue de l'Est;rue;de l';Est
AVENUE DUTUIT;avenue Dutuit;avenue;;Dutuit
RUE DUGUAY-TROUIN;rue Duguay-Trouin;rue;;Duguay-Trouin
RUE EDMOND ABOUT;rue Edmond About;rue;;Edmond About
RUE FRUCTIDOR;rue Fructidor;rue;;Fructidor
RUE ETIENNE MAREY;rue Étienne Marey;rue;;Étienne Marey
QUAI AUX FLEURS;quai aux Fleurs;quai;aux;Fleurs
RUE EDOUARD LARTET;rue Édouard Lartet;rue;;Édouard Lartet
RUE FLOREAL;rue Floréal;rue;;Floréal
RUE EDMOND ROGER;rue Edmond Roger;rue;;Edmond Roger
RUE EMILE DURKHEIM;rue Émile Durkheim;rue;;Émile Durkheim
RUE DUTOT;rue Dutot;rue;;Dutot
RUE GUDIN;rue Gudin;rue;;Gudin
RUE HENRI DESGRANGE;rue Henri Desgrange;rue;;Henri Desgrange
RUE DE L'ECHAUDE;rue de l'Échaudé;rue;de l';Échaudé
RUE FEYDEAU;rue Feydeau;rue;;Feydeau
RUE EUGENE MILLON;rue Eugène Millon;rue;;Eugène Millon
RUE DU GENERAL ARCHINARD;rue du Général Archinard;rue;du;Général Archinard
PLACE DE L'ESCADRILLE NORMANDIE-NIEMEN;place de l'Escadrille Normandie-Niemen;place;de l';Escadrille Normandie-Niemen
RUE DE LA FONTAINE A MULARD;rue de la Fontaine à Mulard;rue;de la;Fontaine à Mulard
RUE DE L'EQUERRE;rue de l'Équerre;rue;de l';Équerre
RUE FOURCROY;rue Fourcroy;rue;;Fourcroy
AVENUE MONTAIGNE;avenue Montaigne;avenue;;Montaigne
RUE DURANTIN;rue Durantin;rue;;Durantin
RUE FRANCISQUE SARCEY;rue Francisque Sarcey;rue;;Francisque Sarcey
RUE MONSEIGNEUR RODHAIN;rue Monseigneur Rodhain;rue;;Monseigneur Rodhain
RUE EMILE DUBOIS;rue Émile Dubois;rue;;Émile Dubois
RUE JEAN DAUDIN;rue Jean Daudin;rue;;Jean Daudin
VILLA FELIX FAURE;villa Félix Faure;villa;;Félix Faure
QUAI FRANCOIS MAURIAC;quai François Mauriac;quai;;François Mauriac
PLACE RICHARD BARET;place Richard Baret;place;;Richard Baret
RUE DES FOSSES SAINT-MARCEL;rue des Fossés Saint-Marcel;rue;des;Fossés Saint-Marcel
RUE MONSIEUR LE PRINCE;rue Monsieur le Prince;rue;;Monsieur le Prince
RUE FRANCOIS COPPEE;rue François Coppée;rue;;François Coppée
RUE FRANCIS CARCO;rue Francis Carco;rue;;Francis Carco
AVENUE MAURICE RAVEL;avenue Maurice Ravel;avenue;;Maurice Ravel
PLACE MARCEL ACHARD;place Marcel Achard;place;;Marcel Achard
RUE DE DURAS;rue de Duras;rue;de;Duras
RUE MONSIEUR;rue Monsieur;rue;;Monsieur
RUE FELIX HUGUENET;rue Félix Huguenet;rue;;Félix Huguenet
RUE FANTIN LATOUR;rue Fantin Latour;rue;;Fantin Latour
RUE VOLTAIRE;rue Voltaire;rue;;Voltaire
RUE DE LA TOUR;rue de la Tour;rue;de la;Tour
RUE STEINLEN;rue Steinlen;rue;;Steinlen
ROUTE DES LACS;route des Lacs;route;des;Lacs
RUE TOURNEFORT;rue Tournefort;rue;;Tournefort
RUE DE TOMBOUCTOU;rue de Tombouctou;rue;de;Tombouctou
PORT DE LA TOURNELLE;port de la Tournelle;port;de la;Tournelle
ROUTE DE LA PORTE DES SABLONS A LA PORTE MAILLOT;route de la Porte des Sablons à la Porte Maillot;route;de la;Porte des Sablons à la Porte Maillot
AVENUE SAINT-HONORE D'EYLAU;avenue Saint-Honoré d'Eylau;avenue;;Saint-Honoré d'Eylau
VOIE EM/20;voie EM/20;voie;;EM/20
COUR VENDOME;cour Vendôme;cour;;Vendôme
RUE TOUSTAIN;rue Toustain;rue;;Toustain
RUE PLUMET;rue Plumet;rue;;Plumet
RUE PIERRE MOUILLARD;rue Pierre Mouillard;rue;;Pierre Mouillard
PLACE DE PORT-AU-PRINCE;place de Port-au-Prince;place;de;Port-au-Prince
RUE PAUL STRAUSS;rue Paul Strauss;rue;;Paul Strauss
RUE PAPILLON;rue Papillon;rue;;Papillon
CITE DU PALAIS ROYAL DE BELLEVILLE;cité du Palais Royal de Belleville;cité;du;Palais Royal de Belleville
PLACE DU PERE CHAILLET;place du Père Chaillet;place;du;Père Chaillet
IMPASSE PIXERECOURT;impasse Pixérécourt;impasse;;Pixérécourt
PASSAGE OLIVIER DE SERRES;passage Olivier de Serres;passage;;Olivier de Serres
RUE JEAN FAUTRIER;rue Jean Fautrier;rue;;Jean Fautrier
RUE DES WALLONS;rue des Wallons;rue;des;Wallons
RUE LECHEVIN;rue Léchevin;rue;;Léchevin
PLACE DE LA RESISTANCE;place de la Résistance;place;de la;Résistance
COUR DE ROME;cour de Rome;cour;de;Rome
RUE LARRIBE;rue Larribe;rue;;Larribe
RUE JEAN-BAPTISTE SEMANAZ;rue Jean-Baptiste Sémanaz;rue;;Jean-Baptiste Sémanaz
RUE JEAN COLLY;rue Jean Colly;rue;;Jean Colly
RUE LECHAPELAIS;rue Lechapelais;rue;;Lechapelais
CITE DU SACRE-COEUR;cité du Sacré-Coeur;cité;du;Sacré-Coeur
RUE PUVIS DE CHAVANNES;rue Puvis de Chavannes;rue;;Puvis de Chavannes
RUE JUSTE METIVIER;rue Juste Métivier;rue;;Juste Métivier
RUE SERPOLLET;rue Serpollet;rue;;Serpollet
RUE DES PRUNIERS;rue des Pruniers;rue;des;Pruniers
RUE DE LABORDE;rue de Laborde;rue;de;Laborde
RUE DE MARENGO;rue de Marengo;rue;de;Marengo
RUE DES MARONITES;rue des Maronites;rue;des;Maronites
RUE MARGUERITTE;rue Margueritte;rue;;Margueritte
TERRASSE DES NEGOCIANTS;terrasse des Négociants;terrasse;des;Négociants
IMPASSE ROLLEBOISE;impasse Rolleboise;impasse;;Rolleboise
RUE JEAN OESTREICHER;rue Jean Oestreicher;rue;;Jean Oestreicher
AVENUE DE NEW YORK;avenue de New York;avenue;de;New York
TERRASSE MODIGLIANI;terrasse Modigliani;terrasse;;Modigliani
RUE MOLITOR;rue Molitor;rue;;Molitor
PONT MIRABEAU;pont Mirabeau;pont;;Mirabeau
RUE LACEPEDE;rue Lacépède;rue;;Lacépède
SQUARE DE MONTSOURIS;square de Montsouris;square;de;Montsouris
RUE DE MONTTESSUY;rue de Monttessuy;rue;de;Monttessuy
RUE DES MORILLONS;rue des Morillons;rue;des;Morillons
RUE PIERRE SOULIE;rue Pierre Soulié;rue;;Pierre Soulié
AVENUE DE L'OBSERVATOIRE;avenue de l'Observatoire;avenue;de l';Observatoire
VOIE BD/17;voie BD/17;voie;;BD/17
RUE D'OLIVET;rue d'Olivet;rue;d';Olivet
PASSAGE PERREUR;passage Perreur;passage;;Perreur
RUE PAUL CHAUTARD;rue Paul Chautard;rue;;Paul Chautard
AVENUE DU NOUVEAU CONSERVATOIRE;avenue du Nouveau Conservatoire;avenue;du;Nouveau Conservatoire
IMPASSE DU ROUET;impasse du Rouet;impasse;du;Rouet
RUE OLIER;rue Olier;rue;;Olier
RUE NOTRE-DAME DE LORETTE;rue Notre-Dame de Lorette;rue;;Notre-Dame de Lorette
RUE D'ORADOUR-SUR-GLANE;rue d'Oradour-sur-Glane;rue;d';Oradour-sur-Glane
RUE DE POMEREU;rue de Pomereu;rue;de;Pomereu
RUE PAUL DELMET;rue Paul Delmet;rue;;Paul Delmet
RUE NOTRE-DAME DES VICTOIRES;rue Notre-Dame des Victoires;rue;;Notre-Dame des Victoires
RUE DE L'OCULUS;rue de l'Oculus;rue;de l';Oculus
RUE DE SAINTONGE;rue de Saintonge;rue;de;Saintonge
RUE LAMANDE;rue Lamandé;rue;;Lamandé
RUE DES MATHURINS;rue des Mathurins;rue;des;Mathurins
RUE JOUVENET;rue Jouvenet;rue;;Jouvenet
SQUARE JULES CHERET;square Jules Chéret;square;;Jules Chéret
RUE DE LAGNY;rue de Lagny;rue;de;Lagny
RUE LA CONDAMINE;rue La Condamine;rue;;La Condamine
RUE LEGRAVEREND;rue Legraverend;rue;;Legraverend
SQUARE LEROY-BEAULIEU;square Leroy-Beaulieu;square;;Leroy-Beaulieu
RUE LAURISTON;rue Lauriston;rue;;Lauriston
RUE DES VERTUS;rue des Vertus;rue;des;Vertus
RUE DE LA ROCHEFOUCAULD;rue de La Rochefoucauld;rue;de;La Rochefoucauld
RUE LEONTINE;rue Léontine;rue;;Léontine
RUE DE LA MICHODIERE;rue de La Michodière;rue;de;La Michodière
GALERIE DU JARDIN;galerie du Jardin;galerie;du;Jardin
PORTE DU LOUVRE;porte du Louvre;porte;du;Louvre
RUE LEON LHERMITTE;rue Léon Lhermitte;rue;;Léon Lhermitte
PONT DU GARIGLIANO;pont du Garigliano;pont;du;Garigliano
RUE GUERSANT;rue Guersant;rue;;Guersant
RUE HERMEL;rue Hermel;rue;;Hermel
RUE HENRI DUVERNOIS;rue Henri Duvernois;rue;;Henri Duvernois
CITE HIVER;cité Hiver;cité;;Hiver
AVENUE GEORGES LAFONT;avenue Georges Lafont;avenue;;Georges Lafont
RUE DE L'HOTEL SAINT-PAUL;rue de l'Hôtel Saint-Paul;rue;de l';Hôtel Saint-Paul
AVENUE IBSEN;avenue Ibsen;avenue;;Ibsen
RUE DU GENERAL RENAULT;rue du Général Renault;rue;du;Général Renault
RUE HELENE JAKUBOWICZ;rue Hélène Jakubowicz;rue;;Hélène Jakubowicz
IMPASSE GUEMENEE;impasse Guéménée;impasse;;Guéménée
RUE GEORGE SAND;rue George Sand;rue;;George Sand
ALLEE MARC CHAGALL;allée Marc Chagall;allée;;Marc Chagall
RUE GUSTAVE LE BON;rue Gustave Le Bon;rue;;Gustave Le Bon
VILLA MARCES;villa Marcès;villa;;Marcès
BOULEVARD MALESHERBES;boulevard Malesherbes;boulevard;;Malesherbes
PASSAGE SAINT-BERNARD;passage Saint-Bernard;passage;;Saint-Bernard
RUE DE LA LUNE;rue de la Lune;rue;de la;Lune
SQUARE DE MAUBEUGE;square de Maubeuge;square;de;Maubeuge
RUE DE LA HUCHETTE;rue de la Huchette;rue;de la;Huchette
RUE SAINT-PHILIPPE DU ROULE;rue Saint-Philippe du Roule;rue;;Saint-Philippe du Roule
RUE GUSTAVE GOUBLIER;rue Gustave Goublier;rue;;Gustave Goublier
RUE DE MEDICIS;rue de Médicis;rue;de;Médicis
RUE STHRAU;rue Sthrau;rue;;Sthrau
VOIE CQ/17;voie CQ/17;voie;;CQ/17
AVENUE ANNE-EUGENIE MILLERET DE BROU;avenue Anne-Eugénie Milleret de Brou;avenue;;Anne-Eugénie Milleret de Brou
VILLA DES HAUTES TRAVERSES;villa des Hautes Traverses;villa;des;Hautes Traverses
RUE DE SAINT-QUENTIN;rue de Saint-Quentin;rue;de;Saint-Quentin
PASSAGE SAINT-ROCH;passage Saint-Roch;passage;;Saint-Roch
BOULEVARD THIERRY DE MARTEL;boulevard Thierry de Martel;boulevard;;Thierry de Martel
PLACE SANS NOM;place Sans Nom;place;;Sans Nom
ALLEE JEAN-JACQUES SERVAN-SCHREIBER;allée Jean-Jacques Servan-Schreiber;allée;;Jean-Jacques Servan-Schreiber
RUE DE TURENNE;rue de Turenne;rue;de;Turenne
RUE DOROTHEA LANGE;rue Dorothea Lange;rue;;Dorothea Lange
PLACE LISE ET ARTUR LONDON;place Lise et Artur London;place;;Lise et Artur London
RUE SAINT-SEBASTIEN;rue Saint-Sébastien;rue;;Saint-Sébastien
PASSAGE SAINT-ANGE;passage Saint-Ange;passage;;Saint-Ange
RUE JULIETTE RECAMIER;rue Juliette Récamier;rue;;Juliette Récamier
RUE LOUISE-EMILIE DE LA TOUR D'AUVERGNE;rue Louise-Émilie de La Tour d'Auvergne;rue;;Louise-Émilie de La Tour d'Auvergne
PASSAGE SAINT-AMBROISE;passage Saint-Ambroise;passage;;Saint-Ambroise
PLACE MEHDI BEN BARKA;place Mehdi Ben Barka;place;;Mehdi Ben Barka
PLACE JUSTIN GODART;place Justin Godart;place;;Justin Godart
RUE CAMILLE PISSARRO;rue Camille Pissarro;rue;;Camille Pissarro
ALLEE DES CARDINOUX;allée des Cardinoux;allée;des;Cardinoux
PLACE DE LA LAICITE;place de la Laïcité;place;de la;Laïcité
RUE ANDRE GIDE;rue André Gide;rue;;André Gide
RUE AUDUBON;rue Audubon;rue;;Audubon
PLACE ANDRE HONNORAT;place André Honnorat;place;;André Honnorat
RUE SAINT-FARGEAU;rue Saint-Fargeau;rue;;Saint-Fargeau
PLACE ANDRE TARDIEU;place André Tardieu;place;;André Tardieu
PLACE JOSE RIZAL;place José Rizal;place;;José Rizal
RUE DE BEAUJOLAIS;rue de Beaujolais;rue;de;Beaujolais
PASSAGE DE BEAUJOLAIS;passage de Beaujolais;passage;de;Beaujolais
ALLEE IRENE NEMIROVSKY;allée Irène Némirovsky;allée;;Irène Némirovsky
RUE D'AGUESSEAU;rue d'Aguesseau;rue;d';Aguesseau
RUE D'ALENCON;rue d'Alençon;rue;d';Alençon
RUE AMPERE;rue Ampère;rue;;Ampère
SQUARE ALICE;square Alice;square;;Alice
VILLA ALEXANDRE RIBOT;villa Alexandre Ribot;villa;;Alexandre Ribot
RUE DES APENNINS;rue des Apennins;rue;des;Apennins
RUE ALPHONSE DE NEUVILLE;rue Alphonse de Neuville;rue;;Alphonse de Neuville
RUE ALFRED FOUILLEE;rue Alfred Fouillée;rue;;Alfred Fouillée
PONT ALEXANDRE III;pont Alexandre III;pont;;Alexandre III
PLACE JEANNE BOHEC;place Jeanne Bohec;place;;Jeanne Bohec
PLACE ANDRE MASSON;place André Masson;place;;André Masson
RUE ABEL TRUCHET;rue Abel Truchet;rue;;Abel Truchet
RUE DE LA BASTILLE;rue de la Bastille;rue;de la;Bastille
RUE CLEMENT MAROT;rue Clément Marot;rue;;Clément Marot
RUE DANTON;rue Danton;rue;;Danton
COUR DEBILLE;cour Debille;cour;;Debille
IMPASSE AMELOT;impasse Amelot;impasse;;Amelot
ALLEE D'ANDREZIEUX;allée d'Andrézieux;allée;d';Andrézieux
RUE DEGUERRY;rue Deguerry;rue;;Deguerry
RUE DARCY;rue Darcy;rue;;Darcy
IMPASSE DE CONTI;impasse de Conti;impasse;de;Conti
VILLA COMPOINT;villa Compoint;villa;;Compoint
RUE DES ABBESSES;rue des Abbesses;rue;des;Abbesses
RUE CROIX DES PETITS CHAMPS;rue Croix des Petits Champs;rue;;Croix des Petits Champs
AVENUE DES ARTS;avenue des Arts;avenue;des;Arts
AVENUE DE CORBERA;avenue de Corbera;avenue;de;Corbera
SQUARE CHAURE;square Chauré;square;;Chauré
RUE DU COMMANDANT LAMY;rue du Commandant Lamy;rue;du;Commandant Lamy
RUE DU COMMANDANT LEANDRI;rue du Commandant Léandri;rue;du;Commandant Léandri
PASSAGE DE CRIMEE;passage de Crimée;passage;de;Crimée
RUE DAVIEL;rue Daviel;rue;;Daviel
VILLA CLAUDE MONET;villa Claude Monet;villa;;Claude Monet
AVENUE DU COQ;avenue du Coq;avenue;du;Coq
AVENUE DU DOCTEUR LANNELONGUE;avenue du Docteur Lannelongue;avenue;du;Docteur Lannelongue
PLACE BAUDOYER;place Baudoyer;place;;Baudoyer
IMPASSE CORNEILLE;impasse Corneille;impasse;;Corneille
RUE DU CHATEAU LANDON;rue du Château Landon;rue;du;Château Landon
RUE DES CLOYS;rue des Cloÿs;rue;des;Cloÿs
RUE CLAUDE TILLIER;rue Claude Tillier;rue;;Claude Tillier
RUE DE CHAUMONT;rue de Chaumont;rue;de;Chaumont
RUE DOLOMIEU;rue Dolomieu;rue;;Dolomieu
IMPASSE DOMBASLE;impasse Dombasle;impasse;;Dombasle
RUE CHARLES MOUREU;rue Charles Moureu;rue;;Charles Moureu
PLACE BOULNOIS;place Boulnois;place;;Boulnois
RUE CURIAL;rue Curial;rue;;Curial
PLACE DIAGHILEV;place Diaghilev;place;;Diaghilev
RUE BRUNESEAU;rue Bruneseau;rue;;Bruneseau
RUE DE LA CROIX SAINT-SIMON;rue de la Croix Saint-Simon;rue;de la;Croix Saint-Simon
RUE DE CHATILLON;rue de Châtillon;rue;de;Châtillon
RUE DE CAUMARTIN;rue de Caumartin;rue;de;Caumartin
RUE CHARLOT;rue Charlot;rue;;Charlot
RUE CACHEUX;rue Cacheux;rue;;Cacheux
RUE DU BOURG L'ABBE;rue du Bourg l'Abbé;rue;du;Bourg l'Abbé
AVENUE DU BELVEDERE;avenue du Belvédère;avenue;du;Belvédère
RUE CASIMIR PERIER;rue Casimir Périer;rue;;Casimir Périer
IMPASSE BOURDIN;impasse Bourdin;impasse;;Bourdin
IMPASSE DU CADRAN;impasse du Cadran;impasse;du;Cadran
RUE DU CAPITAINE TARRON;rue du Capitaine Tarron;rue;du;Capitaine Tarron
BOULEVARD DES CAPUCINES;boulevard des Capucines;boulevard;des;Capucines
RUE GEOFFROY-MARIE;rue Geoffroy-Marie;rue;;Geoffroy-Marie
RUE DU GENERAL LANREZAC;rue du Général Lanrezac;rue;du;Général Lanrezac
AVENUE DU GENERAL DUBAIL;avenue du Général Dubail;avenue;du;Général Dubail
CITE DE L'INDUSTRIE;cité de l'Industrie;cité;de l';Industrie
VILLA INDUSTRIELLE;villa Industrielle;villa;;Industrielle
AVENUE DE FONTENAY;avenue de Fontenay;avenue;de;Fontenay
PLACE DE LA CHAPELLE;place de la Chapelle;place;de la;Chapelle
RUE BERTHOLLET;rue Berthollet;rue;;Berthollet
RUE DE CHARENTON;rue de Charenton;rue;de;Charenton
PLACE DE L'INSTITUT;place de l'Institut;place;de l';Institut
RUE GOZLIN;rue Gozlin;rue;;Gozlin
RUE DE LA BIDASSOA;rue de la Bidassoa;rue;de la;Bidassoa
QUAI BRANLY;quai Branly;quai;;Branly
RUE DE LA CHARBONNIERE;rue de la Charbonnière;rue;de la;Charbonnière
RUE DU GENERAL SERE DE RIVIERES;rue du Général Séré de Rivières;rue;du;Général Séré de Rivières
RUE HASSARD;rue Hassard;rue;;Hassard
CITE D'HAUTEVILLE;cité d'Hauteville;cité;d';Hauteville
PLACE CHARLES BERNARD;place Charles Bernard;place;;Charles Bernard
PASSAGE DU BOURG L'ABBE;passage du Bourg l'Abbé;passage;du;Bourg l'Abbé
IMPASSE BOURGOIN;impasse Bourgoin;impasse;;Bourgoin
RUE HAUTEFEUILLE;rue Hautefeuille;rue;;Hautefeuille
PASSAGE CHARLES DALLERY;passage Charles Dallery;passage;;Charles Dallery
RUE DES VOLONTAIRES;rue des Volontaires;rue;des;Volontaires
ROUTE NOUVELLE;route Nouvelle;route;;Nouvelle
VOIE X/12;voie X/12;voie;;X/12
VOIE CI/15;voie CI/15;voie;;CI/15
VOIE AW/16;voie AW/16;voie;;AW/16
VOIE CR/12;voie CR/12;voie;;CR/12
VILLA VICTORIEN SARDOU;villa Victorien Sardou;villa;;Victorien Sardou
AVENUE DE L'ECOLE DE JOINVILLE;avenue de l'École de Joinville;avenue;de l';École de Joinville
ROUTE DU FORT DE GRAVELLE;route du Fort de Gravelle;route;du;Fort de Gravelle
RUE DE LA VILLETTE;rue de la Villette;rue;de la;Villette
VOIE CE/15;voie CE/15;voie;;CE/15
VOIE DV/13;voie DV/13;voie;;DV/13
VOIE CA/20;voie CA/20;voie;;CA/20
VOIE BR/15;voie BR/15;voie;;BR/15
VOIE D/19;voie D/19;voie;;D/19
VOIE AP/19;voie AP/19;voie;;AP/19
VOIE CM/12;voie CM/12;voie;;CM/12
RUE MONTESQUIEU;rue Montesquieu;rue;;Montesquieu
PASSAGE DE MELUN;passage de Melun;passage;de;Melun
RUE MICHAL;rue Michal;rue;;Michal
VILLA DES LYANES;villa des Lyanes;villa;des;Lyanes
RUE DE NAPLES;rue de Naples;rue;de;Naples
RUE EMILE FAGUET;rue Émile Faguet;rue;;Émile Faguet
VOIE BN/18;voie BN/18;voie;;BN/18
RUE LEON GIRAUD;rue Léon Giraud;rue;;Léon Giraud
ALLEE DE MADRID A NEUILLY;allée de Madrid à Neuilly;allée;de;Madrid à Neuilly
RUE DU TRANSVAAL;rue du Transvaal;rue;du;Transvaal
RUE DE FRANQUEVILLE;rue de Franqueville;rue;de;Franqueville
RUE DE LA FRATERNITE;rue de la Fraternité;rue;de la;Fraternité
RUE DE L'ECHELLE;rue de l'Échelle;rue;de l';Échelle
RUE DE L'EGLISE;rue de l'Église;rue;de l';Église
SQUARE DE L'ESTEREL;square de l'Esterel;square;de l';Esterel
RUE DES FORGES;rue des Forges;rue;des;Forges
RUE DE L'EURE;rue de l'Eure;rue;de l';Eure
PLACE FALGUIERE;place Falguière;place;;Falguière
AVENUE DE ROUVRAY;avenue de Rouvray;avenue;de;Rouvray
RUE PREVOST PARADOL;rue Prévost Paradol;rue;;Prévost Paradol
RUE DE LA PRESENTATION;rue de la Présentation;rue;de la;Présentation
AVENUE DE LA PORTE DE VILLIERS;avenue de la Porte de Villiers;avenue;de la;Porte de Villiers
SQUARE DE LA PORTE DE VANVES;square de la Porte de Vanves;square;de la;Porte de Vanves
BOULEVARD DE REIMS;boulevard de Reims;boulevard;de;Reims
RUE RABELAIS;rue Rabelais;rue;;Rabelais
RUE SCRIBE;rue Scribe;rue;;Scribe
CITE RIVERIN;cité Riverin;cité;;Riverin
RUE RAMBUTEAU;rue Rambuteau;rue;;Rambuteau
AVENUE FRANCO-RUSSE;avenue Franco-Russe;avenue;;Franco-Russe
RUE EUGENE JUMIN;rue Eugène Jumin;rue;;Eugène Jumin
VILLA EUGENE LEBLANC;villa Eugène Leblanc;villa;;Eugène Leblanc
RUE FREDERIC LOLIEE;rue Frédéric Loliée;rue;;Frédéric Loliée
RUE FREDERIC MISTRAL;rue Frédéric Mistral;rue;;Frédéric Mistral
RUE FERDINAND GAMBON;rue Ferdinand Gambon;rue;;Ferdinand Gambon
RUE FERNAND WIDAL;rue Fernand Widal;rue;;Fernand Widal
PLACE DE DUBLIN;place de Dublin;place;de;Dublin
RUE DES GOBELINS;rue des Gobelins;rue;des;Gobelins
RUE EMILE GILBERT;rue Émile Gilbert;rue;;Émile Gilbert
RUE FERDINAND DE BEHAGLE;rue Ferdinand de Béhagle;rue;;Ferdinand de Béhagle
IMPASSE FLORIMONT;impasse Florimont;impasse;;Florimont
RUE FERDINAND DUVAL;rue Ferdinand Duval;rue;;Ferdinand Duval
