typo;typo_min;typvoie;prevoie;nomvoie;dico
RUE ROGER BACON;rue Roger Bacon;rue;;Roger Bacon;2000_PARIS
AVENUE DE LA PORTE DE MENILMONTANT;avenue de la Porte de Ménilmontant;avenue;de la;Porte de Ménilmontant;2000_PARIS
RUE DES MINIMES;rue des Minimes;rue;des;Minimes;2000_PARIS
RUE DE PICPUS;rue de Picpus;rue;de;Picpus;2000_PARIS
QUAI DES ORFEVRES;quai des Orfèvres;quai;des;Orfèvres;2000_PARIS
AVENUE DE LA PORTE D'ASNIERES;avenue de la Porte d'Asnières;avenue;de la;Porte d' Asnières;2000_PARIS
AVENUE DE LA PORTE DE CHATILLON;avenue de la Porte de Châtillon;avenue;de la;Porte de Châtillon;2000_PARIS
RUE ORTOLAN;rue Ortolan;rue;;Ortolan;2000_PARIS
PLACE MARTIN NADAUD;place Martin Nadaud;place;;Martin Nadaud;2000_PARIS
PLACE DU MAROC;place du Maroc;place;du;Maroc;2000_PARIS
RUE NEUVE SAINT-PIERRE;rue Neuve Saint-Pierre;rue;;Neuve Saint-Pierre;2000_PARIS
RUE PAJOU;rue Pajou;rue;;Pajou;2000_PARIS
RUE DU PERE GUERIN;rue du Père Guérin;rue;du;Père Guérin;2000_PARIS
PASSAGE MONCEY;passage Moncey;passage;;Moncey;2000_PARIS
PLACE DES PETITS PERES;place des Petits Pères;place;des;Petits Pères;2000_PARIS
RUE PLATON;rue Platon;rue;;Platon;2000_PARIS
PASSAGE PONCELET;passage Poncelet;passage;;Poncelet;2000_PARIS
VOIE BA/17;voie BA/17;voie;;BA/17;2000_PARIS
RUE DE NOISY LE SEC;rue de Noisy le Sec;rue;de;Noisy le Sec;2000_PARIS
RUE DU PONCEAU;rue du Ponceau;rue;du;Ponceau;2000_PARIS
SQUARE RAPP;square Rapp;square;;Rapp;2000_PARIS
AVENUE PAUL APPELL;avenue Paul Appell;avenue;;Paul Appell;2000_PARIS
PLACE DU PARAGUAY;place du Paraguay;place;du;Paraguay;2000_PARIS
RUE DES PATURES;rue des Pâtures;rue;des;Pâtures;2000_PARIS
VILLA PATRICE BOUDARD;villa Patrice Boudard;villa;;Patrice Boudard;2000_PARIS
BOULEVARD PERSHING;boulevard Pershing;boulevard;;Pershing;2000_PARIS
RUE LEONIDAS;rue Léonidas;rue;;Léonidas;2000_PARIS
RUE LETORT;rue Letort;rue;;Letort;2000_PARIS
SQUARE LA FONTAINE;square La Fontaine;square;;La Fontaine;2000_PARIS
RUE LOUIS MORARD;rue Louis Morard;rue;;Louis Morard;2000_PARIS
RUE LE SUEUR;rue Le Sueur;rue;;Le Sueur;2000_PARIS
PASSAGE JOSSET;passage Josset;passage;;Josset;2000_PARIS
RUE JOSEPH SANSBOEUF;rue Joseph Sansboeuf;rue;;Joseph Sansboeuf;2000_PARIS
ALLEE LEON BOURGEOIS;allée Léon Bourgeois;allée;;Léon Bourgeois;2000_PARIS
PASSAGE LOUIS-PHILIPPE;passage Louis-Philippe;passage;;Louis-Philippe;2000_PARIS
RUE DE LANGEAC;rue de Langeac;rue;de;Langeac;2000_PARIS
CITE JOYEUX;cité Joyeux;cité;;Joyeux;2000_PARIS
SQUARE LAMARCK;square Lamarck;square;;Lamarck;2000_PARIS
IMPASSE LAMIER;impasse Lamier;impasse;;Lamier;2000_PARIS
RUE LAROCHELLE;rue Larochelle;rue;;Larochelle;2000_PARIS
RUE LE PELETIER;rue Le Peletier;rue;;Le Peletier;2000_PARIS
RUE LAGILLE;rue Lagille;rue;;Lagille;2000_PARIS
IMPASSE MOLIN;impasse Molin;impasse;;Molin;2000_PARIS
RUE GARANCIERE;rue Garancière;rue;;Garancière;2000_PARIS
RUE GEORGES BRAQUE;rue Georges Braque;rue;;Georges Braque;2000_PARIS
AVENUE DU GENERAL SAN MARTIN;avenue du Général San Martin;avenue;du;Général San Martin;2000_PARIS
PASSAGE HULOT;passage Hulot;passage;;Hulot;2000_PARIS
AVENUE DE LA GRANDE ARMEE;avenue de la Grande Armée;avenue;de la;Grande Armée;2000_PARIS
RUE HITTORF;rue Hittorf;rue;;Hittorf;2000_PARIS
PONT DE LA TOURNELLE;pont de la Tournelle;pont;de la;Tournelle;2000_PARIS
RUE JACQUES CARTIER;rue Jacques Cartier;rue;;Jacques Cartier;2000_PARIS
RUE HENRY DE LA VAULX;rue Henry de La Vaulx;rue;;Henry de La Vaulx;2000_PARIS
PASSAGE GATBOIS;passage Gatbois;passage;;Gatbois;2000_PARIS
RUE GASTON TESSIER;rue Gaston Tessier;rue;;Gaston Tessier;2000_PARIS
RUE HENRI ROBERT;rue Henri Robert;rue;;Henri Robert;2000_PARIS
RUE D'HELIOPOLIS;rue d'Héliopolis;rue;d';Héliopolis;2000_PARIS
ALLEE GABRIELLE D'ESTREES;allée Gabrielle d'Estrées;allée;;Gabrielle d' Estrées;2000_PARIS
PASSAGE NATIONAL;passage National;passage;;National;2000_PARIS
RUE DU MOULIN JOLY;rue du Moulin Joly;rue;du;Moulin Joly;2000_PARIS
RUE DE VICHY;rue de Vichy;rue;de;Vichy;2000_PARIS
BOULEVARD DU GENERAL MARTIAL VALIN;boulevard du Général Martial Valin;boulevard;du;Général Martial Valin;2000_PARIS
RUE GUSTAVE ROUANET;rue Gustave Rouanet;rue;;Gustave Rouanet;2000_PARIS
RUE DES EAUX;rue des Eaux;rue;des;Eaux;2000_PARIS
VOIE BS/18;voie BS/18;voie;;BS/18;2000_PARIS
RUE GUYNEMER;rue Guynemer;rue;;Guynemer;2000_PARIS
RUE SAINT-BENOIT;rue Saint-Benoît;rue;;Saint-Benoît;2000_PARIS
IMPASSE DE MONT-LOUIS;impasse de Mont-Louis;impasse;de;Mont-Louis;2000_PARIS
QUAI MALAQUAIS;quai Malaquais;quai;;Malaquais;2000_PARIS
RUE RAOUL WALLENBERG;rue Raoul Wallenberg;rue;;Raoul Wallenberg;2000_PARIS
SQUARE DE LA MAYENNE;square de la Mayenne;square;de la;Mayenne;2000_PARIS
RUE LE GOFF;rue Le Goff;rue;;Le Goff;2000_PARIS
RUE GUSTAVE LARROUMET;rue Gustave Larroumet;rue;;Gustave Larroumet;2000_PARIS
BOULEVARD MASSENA;boulevard Masséna;boulevard;;Masséna;2000_PARIS
RUE ALBERT ROUSSEL;rue Albert Roussel;rue;;Albert Roussel;2000_PARIS
PLACE DES TERNES;place des Ternes;place;des;Ternes;2000_PARIS
ROND-POINT SAINT-CHARLES;rond-point Saint-Charles;rond-point;;Saint-Charles;2000_PARIS
RUE SAINT-MARTIN;rue Saint-Martin;rue;;Saint-Martin;2000_PARIS
ESPLANADE SAINT-LOUIS;esplanade Saint-Louis;esplanade;;Saint-Louis;2000_PARIS
AVENUE WINSTON CHURCHILL;avenue Winston Churchill;avenue;;Winston Churchill;2000_PARIS
AVENUE DE SAINT-MANDE;avenue de Saint-Mandé;avenue;de;Saint-Mandé;2000_PARIS
RUE HELENE BRION;rue Hélène Brion;rue;;Hélène Brion;2000_PARIS
RUE GASTON GALLIMARD;rue Gaston Gallimard;rue;;Gaston Gallimard;2000_PARIS
PLACE SLIMANE AZEM;place Slimane Azem;place;;Slimane Azem;2000_PARIS
PROMENADE JEAN VIGO;promenade Jean Vigo;promenade;;Jean Vigo;2000_PARIS
SQUARE DE TOCQUEVILLE;square de Tocqueville;square;de;Tocqueville;2000_PARIS
ALLEE MARIANNE BRESLAUER;allée Marianne Breslauer;allée;;Marianne Breslauer;2000_PARIS
IMPASSE SAINT-FIACRE;impasse Saint-Fiacre;impasse;;Saint-Fiacre;2000_PARIS
SQUARE DU TROCADERO;square du Trocadéro;square;du;Trocadéro;2000_PARIS
BOULEVARD DE STRASBOURG;boulevard de Strasbourg;boulevard;de;Strasbourg;2000_PARIS
RUE SAINTE-CECILE;rue Sainte-Cécile;rue;;Sainte-Cécile;2000_PARIS
RUE RENE BLUM;rue René Blum;rue;;René Blum;2000_PARIS
RUE ALPHONSE BOUDARD;rue Alphonse Boudard;rue;;Alphonse Boudard;2000_PARIS
RUE SAINT-RUSTIQUE;rue Saint-Rustique;rue;;Saint-Rustique;2000_PARIS
RUE JEANNE CHAUVIN;rue Jeanne Chauvin;rue;;Jeanne Chauvin;2000_PARIS
GALERIE DE VALOIS;galerie de Valois;galerie;de;Valois;2000_PARIS
PASSAGE SAINT-SEBASTIEN;passage Saint-Sébastien;passage;;Saint-Sébastien;2000_PARIS
RUE DE LA TRINITE;rue de la Trinité;rue;de la;Trinité;2000_PARIS
PLACE SAINT-FARGEAU;place Saint-Fargeau;place;;Saint-Fargeau;2000_PARIS
RUE VANEAU;rue Vaneau;rue;;Vaneau;2000_PARIS
PLACE MARIE-CLAUDE VAILLANT-COUTURIER ET PIERRE VILLON;place Marie-Claude Vaillant-Couturier et Pierre Villon;place;;Marie-Claude Vaillant-Couturier et Pierre Villon;2000_PARIS
PONT DE TOLBIAC;pont de Tolbiac;pont;de;Tolbiac;2000_PARIS
RUE THOLOZE;rue Tholozé;rue;;Tholozé;2000_PARIS
RUE DU VAL DE MARNE;rue du Val de Marne;rue;du;Val de Marne;2000_PARIS
PLACE SIMON ET CYLA WIESENTHAL;place Simon et Cyla Wiesenthal;place;;Simon et Cyla Wiesenthal;2000_PARIS
ALLEE SUZANNE NOEL;allée Suzanne Noël;allée;;Suzanne Noël;2000_PARIS
RUE AFFRE;rue Affre;rue;;Affre;2000_PARIS
PLACE DE THORIGNY;place de Thorigny;place;de;Thorigny;2000_PARIS
RUE SAINT-ANDRE DES ARTS;rue Saint-André des Arts;rue;;Saint-André des Arts;2000_PARIS
RUE SAINT-VINCENT DE PAUL;rue Saint-Vincent de Paul;rue;;Saint-Vincent de Paul;2000_PARIS
VILLA ADRIENNE;villa Adrienne;villa;;Adrienne;2000_PARIS
ESPLANADE NATHALIE SARRAUTE;esplanade Nathalie Sarraute;esplanade;;Nathalie Sarraute;2000_PARIS
PLACE DE L'HOTEL DE VILLE-ESPLANADE DE LA LIBERATION;place de l'Hôtel de Ville-esplanade de la Libération;place;de l';Hôtel de Ville-esplanade de la Libération;2000_PARIS
PLACE MAURICE AUDIN;place Maurice Audin;place;;Maurice Audin;2000_PARIS
RUE ANDRE PASCAL;rue André Pascal;rue;;André Pascal;2000_PARIS
PLACE DU MOULIN DE JAVEL;place du Moulin de Javel;place;du;Moulin de Javel;2000_PARIS
RUE SAINT-DIDIER;rue Saint-Didier;rue;;Saint-Didier;2000_PARIS
RUE JULIE DAUBIE;rue Julie Daubié;rue;;Julie Daubié;2000_PARIS
RUE AUGEREAU;rue Augereau;rue;;Augereau;2000_PARIS
PLACE BLANCHE LEFEBVRE;place Blanche Lefebvre;place;;Blanche Lefebvre;2000_PARIS
BOULEVARD BARBES;boulevard Barbès;boulevard;;Barbès;2000_PARIS
RUE DE L'ABBE PATUREAU;rue de l'Abbé Patureau;rue;de l';Abbé Patureau;2000_PARIS
AVENUE ALPHAND;avenue Alphand;avenue;;Alphand;2000_PARIS
RUE ROLAND BARTHES;rue Roland Barthes;rue;;Roland Barthes;2000_PARIS
PLACE DE L'ALMA;place de l'Alma;place;de l';Alma;2000_PARIS
RUE BAYEN;rue Bayen;rue;;Bayen;2000_PARIS
RUE CLEMENT MYIONNET;rue Clément Myionnet;rue;;Clément Myionnet;2000_PARIS
RUE DE CLIGNANCOURT;rue de Clignancourt;rue;de;Clignancourt;2000_PARIS
AVENUE DENFERT-ROCHEREAU;avenue Denfert-Rochereau;avenue;;Denfert-Rochereau;2000_PARIS
AVENUE AMBROISE RENDU;avenue Ambroise Rendu;avenue;;Ambroise Rendu;2000_PARIS
AVENUE DU DOCTEUR BROUARDEL;avenue du Docteur Brouardel;avenue;du;Docteur Brouardel;2000_PARIS
RUE D'ALESIA;rue d'Alésia;rue;d';Alésia;2000_PARIS
SQUARE ALFRED DEHODENCQ;square Alfred Dehodencq;square;;Alfred Dehodencq;2000_PARIS
RUE CORNEILLE;rue Corneille;rue;;Corneille;2000_PARIS
RUE DES COURONNES;rue des Couronnes;rue;des;Couronnes;2000_PARIS
VILLA BAUMANN;villa Baumann;villa;;Baumann;2000_PARIS
RUE DES AMANDIERS;rue des Amandiers;rue;des;Amandiers;2000_PARIS
PLACE DES ABBESSES;place des Abbesses;place;des;Abbesses;2000_PARIS
RUE BARYE;rue Barye;rue;;Barye;2000_PARIS
RUE CHRISTOPHE COLOMB;rue Christophe Colomb;rue;;Christophe Colomb;2000_PARIS
COUR DAMOYE;cour Damoye;cour;;Damoye;2000_PARIS
RUE CHEREAU;rue Chéreau;rue;;Chéreau;2000_PARIS
RUE DU CIRQUE;rue du Cirque;rue;du;Cirque;2000_PARIS
RUE DU COLONEL DRIANT;rue du Colonel Driant;rue;du;Colonel Driant;2000_PARIS
RUE CLOVIS HUGUES;rue Clovis Hugues;rue;;Clovis Hugues;2000_PARIS
SQUARE DU DOCTEUR BLANCHE;square du Docteur Blanche;square;du;Docteur Blanche;2000_PARIS
RUE BRIDAINE;rue Bridaine;rue;;Bridaine;2000_PARIS
PASSAGE DES CLOYS;passage des Cloÿs;passage;des;Cloÿs;2000_PARIS
RUE DE LA CHINE;rue de la Chine;rue;de la;Chine;2000_PARIS
RUE CHRETIEN DE TROYES;rue Chrétien de Troyes;rue;;Chrétien de Troyes;2000_PARIS
IMPASSE DU COMMERCE;impasse du Commerce;impasse;du;Commerce;2000_PARIS
RUE CUNIN-GRIDAINE;rue Cunin-Gridaine;rue;;Cunin-Gridaine;2000_PARIS
RUE DE CHAMPAGNY;rue de Champagny;rue;de;Champagny;2000_PARIS
PLACE DES DEUX ECUS;place des Deux Écus;place;des;Deux Écus;2000_PARIS
RUE DANCOURT;rue Dancourt;rue;;Dancourt;2000_PARIS
RUE DU DESSOUS DES BERGES;rue du Dessous des Berges;rue;du;Dessous des Berges;2000_PARIS
RUE CHAUDRON;rue Chaudron;rue;;Chaudron;2000_PARIS
RUE COGNACQ-JAY;rue Cognacq-Jay;rue;;Cognacq-Jay;2000_PARIS
PASSAGE COLLIN;passage Collin;passage;;Collin;2000_PARIS
PLACE CHARLES MICHELS;place Charles Michels;place;;Charles Michels;2000_PARIS
RUE BOY-ZELENSKI;rue Boy-Zelenski;rue;;Boy-Zelenski;2000_PARIS
RUE CARRIERE-MAINGUET;rue Carrière-Mainguet;rue;;Carrière-Mainguet;2000_PARIS
PASSAGE DAGORNO;passage Dagorno;passage;;Dagorno;2000_PARIS
RUE CAIL;rue Cail;rue;;Cail;2000_PARIS
RUE BUOT;rue Buot;rue;;Buot;2000_PARIS
VILLA BOISSIERE;villa Boissière;villa;;Boissière;2000_PARIS
RUE DES BONS ENFANTS;rue des Bons Enfants;rue;des;Bons Enfants;2000_PARIS
RUE BROWN-SEQUARD;rue Brown-Séquard;rue;;Brown-Séquard;2000_PARIS
RUE CONSTANCE;rue Constance;rue;;Constance;2000_PARIS
PLACE CASADESUS;place Casadesus;place;;Casadesus;2000_PARIS
RUE DU CAPITAINE OLCHANSKI;rue du Capitaine Olchanski;rue;du;Capitaine Olchanski;2000_PARIS
RUE DU GENERAL LARGEAU;rue du Général Largeau;rue;du;Général Largeau;2000_PARIS
CITE BERTRAND;cité Bertrand;cité;;Bertrand;2000_PARIS
RUE BREY;rue Brey;rue;;Brey;2000_PARIS
SQUARE VITRUVE;square Vitruve;square;;Vitruve;2000_PARIS
RUE BREMONTIER;rue Brémontier;rue;;Brémontier;2000_PARIS
RUE DE L'INSPECTEUR ALLES;rue de l'Inspecteur Allès;rue;de l';Inspecteur Allès;2000_PARIS
RUE DE CAPRI;rue de Capri;rue;de;Capri;2000_PARIS
RUE CHARLES ET ROBERT;rue Charles et Robert;rue;;Charles et Robert;2000_PARIS
RUE BESSIERES;rue Bessières;rue;;Bessières;2000_PARIS
RUE CARDINALE;rue Cardinale;rue;;Cardinale;2000_PARIS
RUE BERNARD DE CLAIRVAUX;rue Bernard de Clairvaux;rue;;Bernard de Clairvaux;2000_PARIS
RUE DE HANOVRE;rue de Hanovre;rue;de;Hanovre;2000_PARIS
BOULEVARD DE GRENELLE;boulevard de Grenelle;boulevard;de;Grenelle;2000_PARIS
RUE BOURSAULT;rue Boursault;rue;;Boursault;2000_PARIS
ROUTE DES PELOUSES;route des Pelouses;route;des;Pelouses;2000_PARIS
VOIE AD/19;voie AD/19;voie;;AD/19;2000_PARIS
VOIE AY/18;voie AY/18;voie;;AY/18;2000_PARIS
SQUARE EDOUARD VII;square Édouard VII;square;;Édouard VII;2000_PARIS
VOIE CT/12;voie CT/12;voie;;CT/12;2000_PARIS
VOIE CJ/15;voie CJ/15;voie;;CJ/15;2000_PARIS
VOIE AW/14;voie AW/14;voie;;AW/14;2000_PARIS
VOIE BO/16;voie BO/16;voie;;BO/16;2000_PARIS
VOIE BF/14;voie BF/14;voie;;BF/14;2000_PARIS
VOIE B/15;voie B/15;voie;;B/15;2000_PARIS
BOULEVARD VOLTAIRE;boulevard Voltaire;boulevard;;Voltaire;2000_PARIS
VOIE DT/13;voie DT/13;voie;;DT/13;2000_PARIS
VOIE M/16;voie M/16;voie;;M/16;2000_PARIS
AVENUE DE SAINT-MAURICE;avenue de Saint-Maurice;avenue;de;Saint-Maurice;2000_PARIS
RUE VIEILLE DU TEMPLE;rue Vieille du Temple;rue;;Vieille du Temple;2000_PARIS
ROUTE DES PELOUSES MARIGNY;route des Pelouses Marigny;route;des;Pelouses Marigny;2000_PARIS
VOIE BX/20;voie BX/20;voie;;BX/20;2000_PARIS
VOIE C/10;voie C/10;voie;;C/10;2000_PARIS
VOIE CG/15;voie CG/15;voie;;CG/15;2000_PARIS
VOIE BG/14;voie BG/14;voie;;BG/14;2000_PARIS
VOIE DF/13;voie DF/13;voie;;DF/13;2000_PARIS
RUE VOLNEY;rue Volney;rue;;Volney;2000_PARIS
RUE MONTESQUIOU-FEZENSAC;rue Montesquiou-Fezensac;rue;;Montesquiou-Fezensac;2000_PARIS
RUE MELINGUE;rue Mélingue;rue;;Mélingue;2000_PARIS
RUE MAGENDIE;rue Magendie;rue;;Magendie;2000_PARIS
RUE MAILLARD;rue Maillard;rue;;Maillard;2000_PARIS
RUE DE MEZIERES;rue de Mézières;rue;de;Mézières;2000_PARIS
AVENUE DE NEUILLY;avenue de Neuilly;avenue;de;Neuilly;2000_PARIS
RUE DE LA MAIN D'OR;rue de la Main d'Or;rue;de la;Main d' Or;2000_PARIS
VILLA EMILE LOUBET;villa Émile Loubet;villa;;Émile Loubet;2000_PARIS
RUE EMILE LEVEL;rue Émile Level;rue;;Émile Level;2000_PARIS
RUE DE NANTES;rue de Nantes;rue;de;Nantes;2000_PARIS
COUR JASMIN;cour Jasmin;cour;;Jasmin;2000_PARIS
RUE DE LA LOUISIANE;rue de la Louisiane;rue;de la;Louisiane;2000_PARIS
COUR JACQUES VIGUES;cour Jacques Viguès;cour;;Jacques Viguès;2000_PARIS
AVENUE JOSEPH BEDIER;avenue Joseph Bédier;avenue;;Joseph Bédier;2000_PARIS
AVENUE VAVIN;avenue Vavin;avenue;;Vavin;2000_PARIS
IMPASSE DE L'EGLISE;impasse de l'Église;impasse;de l';Église;2000_PARIS
VILLA FLORE;villa Flore;villa;;Flore;2000_PARIS
RUE FOUCAULT;rue Foucault;rue;;Foucault;2000_PARIS
PLACE DE LA FONTAINE AUX LIONS;place de la Fontaine aux Lions;place;de la;Fontaine aux Lions;2000_PARIS
RUE DES FAVORITES;rue des Favorites;rue;des;Favorites;2000_PARIS
RUE ERCKMANN-CHATRIAN;rue Erckmann-Chatrian;rue;;Erckmann-Chatrian;2000_PARIS
RUE DE L'EPERON;rue de l'Éperon;rue;de l';Éperon;2000_PARIS
PLACE NATTIER;place Nattier;place;;Nattier;2000_PARIS
RUE SCHEFFER;rue Scheffer;rue;;Scheffer;2000_PARIS
RUE SANTEUIL;rue Santeuil;rue;;Santeuil;2000_PARIS
RUE RAOUL;rue Raoul;rue;;Raoul;2000_PARIS
AVENUE DE LA PORTE DE SAINT-CLOUD;avenue de la Porte de Saint-Cloud;avenue;de la;Porte de Saint-Cloud;2000_PARIS
RUE DE POUY;rue de Pouy;rue;de;Pouy;2000_PARIS
RUE RICHER;rue Richer;rue;;Richer;2000_PARIS
PLACE ROBERT DESNOS;place Robert Desnos;place;;Robert Desnos;2000_PARIS
RUE QUINCAMPOIX;rue Quincampoix;rue;;Quincampoix;2000_PARIS
VILLA DES PYRENEES;villa des Pyrénées;villa;des;Pyrénées;2000_PARIS
RUE DE PRESLES;rue de Presles;rue;de;Presles;2000_PARIS
AVENUE SIMON BOLIVAR;avenue Simon Bolivar;avenue;;Simon Bolivar;2000_PARIS
RUE DU PRINTEMPS;rue du Printemps;rue;du;Printemps;2000_PARIS
IMPASSE SALEMBRIERE;impasse Salembrière;impasse;;Salembrière;2000_PARIS
RUE DES FILLES SAINT-THOMAS;rue des Filles Saint-Thomas;rue;des;Filles Saint-Thomas;2000_PARIS
RUE EUGENE DELACROIX;rue Eugène Delacroix;rue;;Eugène Delacroix;2000_PARIS
RUE FRANQUET;rue Franquet;rue;;Franquet;2000_PARIS
RUE EDMOND GUILLOUT;rue Edmond Guillout;rue;;Edmond Guillout;2000_PARIS
RUE EDOUARD LOCKROY;rue Édouard Lockroy;rue;;Édouard Lockroy;2000_PARIS
PASSAGE EUGENE BEAUDOUIN;passage Eugène Beaudouin;passage;;Eugène Beaudouin;2000_PARIS
COUR DE LA FERME SAINT-LAZARE;cour de la Ferme Saint-Lazare;cour;de la;Ferme Saint-Lazare;2000_PARIS
PLACE GEORGES MULOT;place Georges Mulot;place;;Georges Mulot;2000_PARIS
PLACE EDMOND ROSTAND;place Edmond Rostand;place;;Edmond Rostand;2000_PARIS
VILLA GEORGINA;villa Georgina;villa;;Georgina;2000_PARIS
RUE FORCEVAL;rue Forceval;rue;;Forceval;2000_PARIS
PLACE ETIENNE PERNET;place Étienne Pernet;place;;Étienne Pernet;2000_PARIS
PLACE DU PUITS DE L'ERMITE;place du Puits de l'Ermite;place;du;Puits de l' Ermite;2000_PARIS
RUE DES FONTAINES DU TEMPLE;rue des Fontaines du Temple;rue;des;Fontaines du Temple;2000_PARIS
RUE DURANTON;rue Duranton;rue;;Duranton;2000_PARIS
RUE FRANCIS GARNIER;rue Francis Garnier;rue;;Francis Garnier;2000_PARIS
RUE DUPUYTREN;rue Dupuytren;rue;;Dupuytren;2000_PARIS
PASSAGE FOUBERT;passage Foubert;passage;;Foubert;2000_PARIS
RUE JULES VALLES;rue Jules Vallès;rue;;Jules Vallès;2000_PARIS
IMPASSE LEBOUIS;impasse Lebouis;impasse;;Lebouis;2000_PARIS
BOULEVARD MURAT;boulevard Murat;boulevard;;Murat;2000_PARIS
RUE MAURICE ROUVIER;rue Maurice Rouvier;rue;;Maurice Rouvier;2000_PARIS
RUE DE LA FELICITE;rue de la Félicité;rue;de la;Félicité;2000_PARIS
AVENUE JEAN JAURES;avenue Jean Jaurès;avenue;;Jean Jaurès;2000_PARIS
QUAI DE MONTEBELLO;quai de Montebello;quai;de;Montebello;2000_PARIS
RUE MYRHA;rue Myrha;rue;;Myrha;2000_PARIS
PLACE JULES JOFFRIN;place Jules Joffrin;place;;Jules Joffrin;2000_PARIS
RUE VAUVENARGUES;rue Vauvenargues;rue;;Vauvenargues;2000_PARIS
VOIE BM/18;voie BM/18;voie;;BM/18;2000_PARIS
ROUTE DE BOULOGNE A PASSY;route de Boulogne à Passy;route;de;Boulogne à Passy;2000_PARIS
RUE SAINT-HONORE;rue Saint-Honoré;rue;;Saint-Honoré;2000_PARIS
VOIE EQ/20;voie EQ/20;voie;;EQ/20;2000_PARIS
ROUTE DU PRE CATELAN;route du Pré Catelan;route;du;Pré Catelan;2000_PARIS
VOIE EP/20;voie EP/20;voie;;EP/20;2000_PARIS
PASSAGE DES SOUPIRS;passage des Soupirs;passage;des;Soupirs;2000_PARIS
RUE DE TAHITI;rue de Tahiti;rue;de;Tahiti;2000_PARIS
RUE VAVIN;rue Vavin;rue;;Vavin;2000_PARIS
ALLEE DE L'ESPERANCE;allée de l'Espérance;allée;de l';Espérance;2000_PARIS
VOIE R/19;voie R/19;voie;;R/19;2000_PARIS
VOIE E/18;voie E/18;voie;;E/18;2000_PARIS
QUAI D'ORLEANS;quai d'Orléans;quai;d';Orléans;2000_PARIS
RUE PELOUZE;rue Pelouze;rue;;Pelouze;2000_PARIS
RUE DES PANOYAUX;rue des Panoyaux;rue;des;Panoyaux;2000_PARIS
VOIE BG/17;voie BG/17;voie;;BG/17;2000_PARIS
VOIE BH/17;voie BH/17;voie;;BH/17;2000_PARIS
AVENUE PERCIER;avenue Percier;avenue;;Percier;2000_PARIS
RUE DU PERE TEILHARD DE CHARDIN;rue du Père Teilhard de Chardin;rue;du;Père Teilhard de Chardin;2000_PARIS
RUE PIERRE GUERIN;rue Pierre Guérin;rue;;Pierre Guérin;2000_PARIS
RUE DE L'OURCQ;rue de l'Ourcq;rue;de l';Ourcq;2000_PARIS
AVENUE DE LA PORTE CHAUMONT;avenue de la Porte Chaumont;avenue;de la;Porte Chaumont;2000_PARIS
PASSAGE PIVER;passage Piver;passage;;Piver;2000_PARIS
RUE PAYENNE;rue Payenne;rue;;Payenne;2000_PARIS
PLACE DU PETIT PONT;place du Petit Pont;place;du;Petit Pont;2000_PARIS
RUE OSWALDO CRUZ;rue Oswaldo Cruz;rue;;Oswaldo Cruz;2000_PARIS
RUE DE VOUILLE;rue de Vouillé;rue;de;Vouillé;2000_PARIS
RUE DE LA VOUTE;rue de la Voûte;rue;de la;Voûte;2000_PARIS
RUE DE RENNES;rue de Rennes;rue;de;Rennes;2000_PARIS
RUE JEAN MACE;rue Jean Macé;rue;;Jean Macé;2000_PARIS
RUE LEDION;rue Ledion;rue;;Ledion;2000_PARIS
RUE LABAT;rue Labat;rue;;Labat;2000_PARIS
RUE DE SEVIGNE;rue de Sévigné;rue;de;Sévigné;2000_PARIS
RUE DE MENILMONTANT;rue de Ménilmontant;rue;de;Ménilmontant;2000_PARIS
RUE D'ORMESSON;rue d'Ormesson;rue;d';Ormesson;2000_PARIS
RUE DE MEAUX;rue de Meaux;rue;de;Meaux;2000_PARIS
RUE DU MONT THABOR;rue du Mont Thabor;rue;du;Mont Thabor;2000_PARIS
RUE DU MAINE;rue du Maine;rue;du;Maine;2000_PARIS
RUE MESNIL;rue Mesnil;rue;;Mesnil;2000_PARIS
RUE PIAT;rue Piat;rue;;Piat;2000_PARIS
PLACE DE LA PORTE MOLITOR;place de la Porte Molitor;place;de la;Porte Molitor;2000_PARIS
RUE NECKER;rue Necker;rue;;Necker;2000_PARIS
CITE MORIEUX;cité Morieux;cité;;Morieux;2000_PARIS
RUE DES MOINES;rue des Moines;rue;des;Moines;2000_PARIS
AVENUE DU MARECHAL LYAUTEY;avenue du Maréchal Lyautey;avenue;du;Maréchal Lyautey;2000_PARIS
BOULEVARD DE MONTMORENCY;boulevard de Montmorency;boulevard;de;Montmorency;2000_PARIS
RUE MILNE-EDWARDS;rue Milne-Edwards;rue;;Milne-Edwards;2000_PARIS
VILLA DE SEGUR;villa de Ségur;villa;de;Ségur;2000_PARIS
SQUARE PETRARQUE;square Pétrarque;square;;Pétrarque;2000_PARIS
RUE SAILLARD;rue Saillard;rue;;Saillard;2000_PARIS
RUE PETITOT;rue Petitot;rue;;Petitot;2000_PARIS
RUE RIQUET;rue Riquet;rue;;Riquet;2000_PARIS
ALLEE RIMSKI-KORSAKOV;allée Rimski-Korsakov;allée;;Rimski-Korsakov;2000_PARIS
RUE DE LA PLAINE;rue de la Plaine;rue;de la;Plaine;2000_PARIS
SQUARE PETRELLE;square Pétrelle;square;;Pétrelle;2000_PARIS
BOULEVARD POISSONNIERE;boulevard Poissonnière;boulevard;;Poissonnière;2000_PARIS
PASSAGE SAVART;passage Savart;passage;;Savart;2000_PARIS
